date,eggs,almond_life,lactose_milk,red_onions,brown_onions,ravioli,pasta_sauce,chicken_tikka,pesto
2025-05-13,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-14,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-15,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-16,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-17,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-18,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-19,8.7,2,1.9,4.5,3.6,5.3,2.3,4,5.3
2025-05-20,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-21,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-22,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-23,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-24,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-25,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-26,8.7,2,1.9,4.5,3.6,4,4.6,3.6,4.3
2025-05-27,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-05-28,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-05-29,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-05-30,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-05-31,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-06-01,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-06-02,8.7,2,1.9,5.5,3.6,5.3,2.75,4.5,4.3
2025-06-03,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-04,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-05,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-06,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-07,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-08,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-09,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-10,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-11,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-12,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-13,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-14,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-15,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-16,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-17,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-18,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-19,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-20,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-21,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-22,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-23,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-24,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-25,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-26,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-27,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-28,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-29,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-06-30,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-01,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-02,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-03,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-04,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-05,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-06,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-07,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-08,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-09,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-10,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-11,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-12,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-13,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-14,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-15,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-16,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-17,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-18,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-19,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-20,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-21,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-22,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-23,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-24,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-25,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-26,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-27,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-28,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-29,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-30,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-07-31,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-01,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-02,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-03,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-04,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-05,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-06,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-07,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-08,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-09,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-10,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-11,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-12,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-13,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-14,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-15,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-16,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-17,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-18,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-19,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-20,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-21,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-22,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-23,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-24,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-25,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-26,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-27,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-28,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-29,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-30,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-08-31,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-01,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-02,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-03,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-04,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-05,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-06,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-07,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-08,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-09,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-10,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-11,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-12,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-13,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-14,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-15,8.7,2,1.9,5.5,2.5,5.3,2.75,4.5,4.3
2025-09-16,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-17,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-18,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-19,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-20,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-21,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-22,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-23,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-24,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-25,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-26,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-27,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-28,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-29,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-09-30,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-01,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-02,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-03,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-04,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-05,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-06,8.7,2,2,4.9,2.5,4.5,3.6,4,5.3
2025-10-07,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-08,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-09,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-10,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-11,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-12,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-13,8.7,2,2,3,3.6,4.5,3.6,4.5,5.3
2025-10-14,8.7,2,2,4.9,2.5,4.5,4.6,4,5.3
2025-10-15,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-16,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-17,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-18,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-19,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-20,8.7,2,2,4.9,2.5,4.5,2.9,4,5.3
2025-10-21,8.7,2,2,4.9,3.6,4.5,2.9,4.5,4.3
2025-10-22,8.4,2,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-23,8.4,2,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-24,8.4,2,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-25,8.4,2,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-26,8.4,1.85,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-27,8.4,1.85,2,4.9,3.6,4.5,4.6,4.5,4.3
2025-10-28,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-10-29,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-10-30,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-10-31,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-11-01,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-11-02,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-11-03,8.4,1.85,2,4.9,3,3.5,4.6,4.5,5.3
2025-11-04,8.4,1.85,2,3.5,3.6,4.5,4.6,4.5,5.3
2025-11-05,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-06,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-07,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-08,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-09,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-10,8.4,1.85,2,3.5,3.6,4.5,3.8,4.5,5.3
2025-11-11,8.4,1.85,2,4.9,2.5,4.5,4.6,4.5,5.3
2025-11-12,7,1.85,2,4.9,2.5,4.5,4.6,4.5,5.3
2025-11-13,7,1.85,2,4.9,2.5,4.5,4.6,4.5,5.3
